Market Structure,Regulation Level,Revenue
Monopolistic Competition,Low Regulation,69.53
Monopolistic Competition,Low Regulation,161.63
Monopolistic Competition,Low Regulation,111.94
Monopolistic Competition,Low Regulation,52.51
Monopolistic Competition,Low Regulation,118.47
Monopolistic Competition,Low Regulation,60.24
Monopolistic Competition,Low Regulation,123.12
Monopolistic Competition,Low Regulation,136.39
Monopolistic Competition,Low Regulation,65.74
Monopolistic Competition,Low Regulation,129.42
Monopolistic Competition,Low Regulation,109.76
Monopolistic Competition,Low Regulation,124.37
Monopolistic Competition,Low Regulation,162.74
Monopolistic Competition,Low Regulation,86.27
Monopolistic Competition,Low Regulation,68.13
Monopolistic Competition,Low Regulation,63.28
Monopolistic Competition,Low Regulation,65.91
Monopolistic Competition,Low Regulation,92.28
Monopolistic Competition,Low Regulation,107.21
Monopolistic Competition,Low Regulation,104.91
Monopolistic Competition,Low Regulation,124.56
Monopolistic Competition,Low Regulation,95.49
Monopolistic Competition,Low Regulation,146.91
Monopolistic Competition,Low Regulation,85.58
Monopolistic Competition,Low Regulation,192.13
Monopolistic Competition,High Regulation,117.36
Monopolistic Competition,High Regulation,64.43
Monopolistic Competition,High Regulation,56.81
Monopolistic Competition,High Regulation,112.25
Monopolistic Competition,High Regulation,87.05
Monopolistic Competition,High Regulation,120.52
Monopolistic Competition,High Regulation,111.92
Monopolistic Competition,High Regulation,92.43
Monopolistic Competition,High Regulation,64.8
Monopolistic Competition,High Regulation,40.96
Monopolistic Competition,High Regulation,79.09
Monopolistic Competition,High Regulation,125.6
Monopolistic Competition,High Regulation,102.67
Monopolistic Competition,High Regulation,50.56
Monopolistic Competition,High Regulation,101.21
Monopolistic Competition,High Regulation,108.78
Monopolistic Competition,High Regulation,63.48
Monopolistic Competition,High Regulation,100.52
Monopolistic Competition,High Regulation,97.11
Monopolistic Competition,High Regulation,54.23
Monopolistic Competition,High Regulation,107.8
Monopolistic Competition,High Regulation,115.05
Monopolistic Competition,High Regulation,133.69
Monopolistic Competition,High Regulation,132.64
Monopolistic Competition,High Regulation,45.85
Monopolistic Competition,High Regulation,61.55
Monopolistic Competition,High Regulation,113.41
Monopolistic Competition,High Regulation,113.37
Monopolistic Competition,High Regulation,113.41
Monopolistic Competition,High Regulation,232.55
Monopolistic Competition,High Regulation,115.41
Monopolistic Competition,High Regulation,135.56
Monopolistic Competition,High Regulation,129.08
Monopolistic Competition,High Regulation,118.28
Monopolistic Competition,High Regulation,83.78
Monopolistic Competition,High Regulation,122.12
Monopolistic Competition,High Regulation,67.44
Monopolistic Competition,High Regulation,86.58
Monopolistic Competition,High Regulation,77.71
Monopolistic Competition,High Regulation,97.95
Monopolistic Competition,High Regulation,177.65
Monopolistic Competition,High Regulation,28.38
Monopolistic Competition,High Regulation,119.53
Monopolistic Competition,High Regulation,37.46
Monopolistic Competition,High Regulation,78.18
Monopolistic Competition,High Regulation,133.9
Monopolistic Competition,High Regulation,97.32
Monopolistic Competition,High Regulation,56.56
Monopolistic Competition,High Regulation,69.5
Monopolistic Competition,High Regulation,119.29
Monopolistic Competition,High Regulation,68.96
Monopolistic Competition,High Regulation,102.76
Monopolistic Competition,High Regulation,96.66
Monopolistic Competition,High Regulation,71.77
Monopolistic Competition,High Regulation,171.56
Monopolistic Competition,High Regulation,117.66
Monopolistic Competition,High Regulation,22.74
Monopolistic Competition,High Regulation,101.69
Monopolistic Competition,High Regulation,71.41
Monopolistic Competition,High Regulation,125.46
Oligopoly,Low Regulation,66.74
Oligopoly,Low Regulation,90.93
Oligopoly,Low Regulation,113.06
Oligopoly,Low Regulation,125.93
Oligopoly,Low Regulation,52.19
Oligopoly,Low Regulation,83.09
Oligopoly,Low Regulation,78.08
Oligopoly,Low Regulation,71.71
Oligopoly,Low Regulation,158.05
Oligopoly,Low Regulation,109.49
Oligopoly,Low Regulation,50.02
Oligopoly,Low Regulation,127.79
Oligopoly,Low Regulation,170.78
Oligopoly,Low Regulation,131.88
Oligopoly,Low Regulation,40.8
Oligopoly,Low Regulation,77.75
Oligopoly,Low Regulation,140.25
Oligopoly,Low Regulation,69.77
Oligopoly,Low Regulation,110.87
Oligopoly,Low Regulation,122.68
Oligopoly,Low Regulation,61.94
Oligopoly,Low Regulation,92.91
Oligopoly,Low Regulation,-20.67
Oligopoly,Low Regulation,58.47
Oligopoly,Low Regulation,86.01
Oligopoly,Low Regulation,50.49
Oligopoly,Low Regulation,153.3
Oligopoly,Low Regulation,43.98
Oligopoly,Low Regulation,79.32
Oligopoly,Low Regulation,99.7
Oligopoly,Low Regulation,146.48
Oligopoly,Low Regulation,43.78
Oligopoly,Low Regulation,136.55
Oligopoly,Low Regulation,95.4
Oligopoly,Low Regulation,60.0
Oligopoly,Low Regulation,111.52
Oligopoly,Low Regulation,102.14
Oligopoly,Low Regulation,73.61
Oligopoly,Low Regulation,97.52
Oligopoly,Low Regulation,81.28
Oligopoly,Low Regulation,99.08
Oligopoly,Low Regulation,118.66
Oligopoly,Low Regulation,151.64
Oligopoly,Low Regulation,50.85
Oligopoly,Low Regulation,171.17
Oligopoly,Low Regulation,25.35
Oligopoly,Low Regulation,89.61
Oligopoly,Low Regulation,116.03
Oligopoly,Low Regulation,105.06
Oligopoly,Low Regulation,72.8
Oligopoly,Low Regulation,87.6
Oligopoly,Low Regulation,77.43
Oligopoly,Low Regulation,73.99
Oligopoly,Low Regulation,125.36
Oligopoly,Low Regulation,107.77
Oligopoly,Low Regulation,70.3
Oligopoly,Low Regulation,127.14
Oligopoly,Low Regulation,106.0
Oligopoly,Low Regulation,124.04
Oligopoly,Low Regulation,117.5
Oligopoly,High Regulation,65.44
Oligopoly,High Regulation,75.03
Oligopoly,High Regulation,121.7
Oligopoly,High Regulation,116.82
Oligopoly,High Regulation,94.28
Oligopoly,High Regulation,99.22
Oligopoly,High Regulation,140.64
Oligopoly,High Regulation,73.91
Oligopoly,High Regulation,114.56
Oligopoly,High Regulation,87.81
Oligopoly,High Regulation,87.26
Oligopoly,High Regulation,134.25
Oligopoly,High Regulation,124.49
Oligopoly,High Regulation,124.07
Oligopoly,High Regulation,141.63
Oligopoly,High Regulation,95.78
Oligopoly,High Regulation,119.37
Oligopoly,High Regulation,83.96
Oligopoly,High Regulation,106.6
Oligopoly,High Regulation,90.38
Oligopoly,High Regulation,98.49
Oligopoly,High Regulation,116.27
Oligopoly,High Regulation,65.82
Oligopoly,High Regulation,169.72
Oligopoly,High Regulation,59.12
Oligopoly,High Regulation,51.69
Oligopoly,High Regulation,136.37
Oligopoly,High Regulation,123.29
Oligopoly,High Regulation,117.31
Oligopoly,High Regulation,117.46
Oligopoly,High Regulation,94.59
Oligopoly,High Regulation,63.0
Oligopoly,High Regulation,97.74
Oligopoly,High Regulation,70.86
Oligopoly,High Regulation,129.84
Oligopoly,High Regulation,89.78
Oligopoly,High Regulation,65.56
Oligopoly,High Regulation,83.56
Oligopoly,High Regulation,109.77
Oligopoly,High Regulation,74.91
Oligopoly,High Regulation,65.68
Oligopoly,High Regulation,103.73
Oligopoly,High Regulation,103.77
Oligopoly,High Regulation,76.93
Oligopoly,High Regulation,78.22
Oligopoly,High Regulation,103.31
Oligopoly,High Regulation,43.34
Oligopoly,High Regulation,44.79
Oligopoly,High Regulation,69.39
Oligopoly,High Regulation,87.41
Oligopoly,High Regulation,106.13
Oligopoly,High Regulation,147.69
Oligopoly,High Regulation,125.64
Oligopoly,High Regulation,89.32
Oligopoly,High Regulation,94.35
Oligopoly,High Regulation,59.25
Oligopoly,High Regulation,94.37
Oligopoly,High Regulation,84.73
Oligopoly,High Regulation,106.55
Oligopoly,High Regulation,65.5
Monopoly,Low Regulation,113.57
Monopoly,Low Regulation,149.74
Monopoly,Low Regulation,91.15
Monopoly,Low Regulation,109.37
Monopoly,Low Regulation,119.66
Monopoly,Low Regulation,80.71
Monopoly,Low Regulation,103.03
Monopoly,Low Regulation,95.48
Monopoly,Low Regulation,98.52
Monopoly,Low Regulation,67.44
Monopoly,Low Regulation,95.9
Monopoly,Low Regulation,112.81
Monopoly,Low Regulation,146.83
Monopoly,Low Regulation,129.27
Monopoly,Low Regulation,171.89
Monopoly,Low Regulation,67.64
Monopoly,Low Regulation,126.17
Monopoly,Low Regulation,101.57
Monopoly,Low Regulation,173.19
Monopoly,Low Regulation,66.18
Monopoly,Low Regulation,65.06
Monopoly,Low Regulation,73.63
Monopoly,Low Regulation,19.22
Monopoly,Low Regulation,76.26
Monopoly,Low Regulation,67.93
Monopoly,Low Regulation,100.4
Monopoly,Low Regulation,107.23
Monopoly,Low Regulation,162.0
Monopoly,Low Regulation,128.95
Monopoly,Low Regulation,74.44
Monopoly,Low Regulation,62.96
Monopoly,Low Regulation,112.59
Monopoly,Low Regulation,47.9
Monopoly,Low Regulation,160.4
Monopoly,Low Regulation,137.13
Monopoly,Low Regulation,78.28
Monopoly,Low Regulation,33.88
Monopoly,Low Regulation,143.36
Monopoly,Low Regulation,90.94
Monopoly,Low Regulation,139.21
Monopoly,Low Regulation,38.12
Monopoly,Low Regulation,73.64
Monopoly,Low Regulation,95.22
Monopoly,Low Regulation,96.71
Monopoly,Low Regulation,78.97
Monopoly,Low Regulation,117.26
Monopoly,Low Regulation,56.92
Monopoly,Low Regulation,89.95
Monopoly,Low Regulation,99.32
Monopoly,Low Regulation,113.39
Monopoly,Low Regulation,120.43
Monopoly,Low Regulation,54.89
Monopoly,Low Regulation,40.27
Monopoly,Low Regulation,140.64
Monopoly,Low Regulation,106.89
Monopoly,Low Regulation,68.31
Monopoly,Low Regulation,150.4
Monopoly,Low Regulation,99.16
Monopoly,Low Regulation,137.12
Monopoly,Low Regulation,97.44
Monopoly,High Regulation,168.59
Monopoly,High Regulation,157.69
Monopoly,High Regulation,86.14
Monopoly,High Regulation,129.71
Monopoly,High Regulation,118.07
Monopoly,High Regulation,143.88
Monopoly,High Regulation,60.59
Monopoly,High Regulation,119.52
Monopoly,High Regulation,132.81
Monopoly,High Regulation,32.25
Monopoly,High Regulation,52.79
Monopoly,High Regulation,22.24
Monopoly,High Regulation,85.41
Monopoly,High Regulation,120.64
Monopoly,High Regulation,148.66
Monopoly,High Regulation,97.67
Monopoly,High Regulation,153.16
Monopoly,High Regulation,45.77
Monopoly,High Regulation,34.23
Monopoly,High Regulation,93.05
Monopoly,High Regulation,108.74
Monopoly,High Regulation,93.86
Monopoly,High Regulation,21.23
Monopoly,High Regulation,91.85
Monopoly,High Regulation,48.47
Monopoly,High Regulation,118.93
Monopoly,High Regulation,108.12
Monopoly,High Regulation,61.48
Monopoly,High Regulation,76.69
Monopoly,High Regulation,57.22
Monopoly,High Regulation,92.79
Monopoly,High Regulation,129.12
Monopoly,High Regulation,59.85
Monopoly,High Regulation,113.02
Monopoly,High Regulation,76.1
Monopoly,High Regulation,66.73
Monopoly,High Regulation,91.21
Monopoly,High Regulation,58.08
Monopoly,High Regulation,75.27
Monopoly,High Regulation,52.27
Monopoly,High Regulation,165.16
Monopoly,High Regulation,96.29
Monopoly,High Regulation,70.05
Monopoly,High Regulation,102.67
Monopoly,High Regulation,91.02
Monopoly,High Regulation,87.14
Monopoly,High Regulation,116.95
Monopoly,High Regulation,122.07
Monopoly,High Regulation,76.09
Monopoly,High Regulation,74.48
Monopoly,High Regulation,85.21
Monopoly,High Regulation,12.86
Monopoly,High Regulation,40.95
Monopoly,High Regulation,143.82
Monopoly,High Regulation,153.75
Monopoly,High Regulation,86.14
Monopoly,High Regulation,115.61
Monopoly,High Regulation,106.14
Monopoly,High Regulation,204.93
Monopoly,High Regulation,134.99
